Number,Store Name,Owner
1,A & P Food Stores,
2,ACME Markets,
3,Albertsons,Albertsons
4,ALDI,ALDI
5,Amazon,Amazon
6,Amazon Fresh,Amazon
7,Amazon Go,Amazon
8,Balducci's,Albertsons
9,Beit Brothers Supermarket,
10,Big Value Super Mkt.,
11,Big Y Foods,
12,BJ's Wholesale Club,
13,Bravo Supermarket,
14,C Town,
15,Ceriello Fine Foods,
16,Costco,
17,Cumberland Farms,
18,D & M Supermarket,
19,Food Bag,
20,Food Emporium,
21,Foodmart,
22,Francescos Fabulous Foods LLC,
23,Fresh Direct,Ahold Delhaize
24,Geissler's Super Mkt.,
25,Giant,Ahold Delhaize
26,Grand Union Co,
27,Haggen,Albertsons
28,Hannaford,Ahold Delhaize
29,Kings,Albertsons
30,Krauszers,
31,Market Street,Albertsons
32,Patco Handy Stop,
33,Pavillions,Albertsons
34,Peadpod,Ahold Delhaize
35,Price Chopper,
36,Price Rite,
37,Randalls,Albertsons
38,SAFEWAY,Albertsons
39,Sam's Club,
40,Save A Lot,
41,Shaws,
42,Shaw's Osco,
43,Shaws Star Market,Albertsons
44,ShopRite,ShopRite
45,Stop & GO,
46,Stop & Save,
47,Stop & Shop,Ahold Delhaize
48,Stop One Grocery,
49,Sunny Ridge Supermarket,
50,Sunshine Foods,
51,Superior Supermarket,
52,Trader Joe's,ALDI
53,Wal-Mart Supercenter,
54,Weis Markets,
55,WHOLE FOODS,Amazon
56,Dollar General,Dollar General
57,Dollar General Market,Dollar General
58,Dollar Tree,Dollar Tree
59,Family Dollar,Dollar Tree
60,Price Chopper,Golub Corp.
61,Tops,Golub Corp.
62,Market by Price Chopper,Golub Corp.
63,H-E-B,H-E-B
64,Central Market,H-E-B
65,Joe V's,H-E-B
66,Mi Tienda,H-E-B
67,HyVee,Hy-Vee
68,Kroger,Kroger
69,Fred Meyer,Kroger
70,Dillons Food Stores,Kroger
71,Mariano's,Kroger
72,Meijer,Meijer
73,Fresh Thyme Market,Meijer
74,Walmart,Walmart
75,Price Rite,Wakefern Food Corp.
76,ShopRite,Wakefern Food Corp.
77,The Fresh Grocer,Wakefern Food Corp.
78,Wegmans,Wegmans
79,Weis Markets,Weis Markets
80,Wawa,Wild Goose Holding Co.
81,Target,Target
